,Name,Localization,Distance to center,Score,Experiences number,Links
419,Résidence Charles Floquet,"7th arr., Paris",2.6 miles,8.0,884 reviews,https://www.booking.com//hotel/fr/residence-charles-floquet.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
420,CMG Deluxe Tour Eiffel III,"16th arr., Paris",3 miles,9.1,81 reviews,https://www.booking.com//hotel/fr/cmg-deluxe-tour-eiffel-iii.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
421,Trocadéro apartment,"16th arr., Paris",3.1 miles,8.9,440 reviews,https://www.booking.com//hotel/fr/trocadero-paris1.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
422,Hyatt Regency Paris Etoile,"17th arr., Paris",3.1 miles,7.5,27 reviews,https://www.booking.com//hotel/fr/hyatt-regency-paris-etoile.html?from=searchresults;#hotelTmpl
423,Novotel Paris Gare De Lyon,"12th arr., Paris",1.3 miles,8.3,32 reviews,https://www.booking.com//hotel/fr/novotel-gare-de-lyon.html?from=searchresults;#hotelTmpl
424,CMG Deluxe Tour Eiffel V,"16th arr., Paris",3 miles,8.5,"1,643 reviews",https://www.booking.com//hotel/fr/cmg-deluxe-tour-eiffel-v.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
425,Sweet Inn - Saint denis,"2nd arr., Paris",0.9 miles,9.6,253 reviews,https://www.booking.com//hotel/fr/sweet-inn-apartments-saint-denis.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
426,Hôtel Vernet,"8th arr., Paris",2.7 miles,8.3,18 reviews,https://www.booking.com//hotel/fr/vernet.html?from=searchresults;#hotelTmpl
427,Villa Daubenton,"5th arr., Paris",1.2 miles,8.0,"1,164 reviews",https://www.booking.com//hotel/fr/residencedaubenton.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
428,Hotel Touraine Opera,"9th arr., Paris",1.6 miles,9.1,686 reviews,https://www.booking.com//hotel/fr/touraine-opera.html?from=searchresults;#hotelTmpl
429,L'Hôtel,"6th arr., Paris",0.7 miles,8.5,"1,526 reviews",https://www.booking.com//hotel/fr/paris.html?from=searchresults;#hotelTmpl
430,Holiday Inn Express Paris-Canal De La Villette,"19th arr., Paris",2.5 miles,8.8,671 reviews,https://www.booking.com//hotel/fr/holiday-inn-express-paris-canal-de-la-villette.html?from=searchresults;#hotelTmpl
431,Molitor Paris - MGallery by Sofitel,"16th arr., Paris",4.3 miles,8.8,136 reviews,https://www.booking.com//hotel/fr/mgallery-molitor.html?from=searchresults;#hotelTmpl
432,La Clef Champs-Élysées Paris,"8th arr., Paris",2.6 miles,8.7,"1,785 reviews",https://www.booking.com//hotel/fr/la-clef-champs-elysees-paris.html?from=searchresults;#hotelTmpl
433,Hotel Terminus Montparnasse,"6th arr., Paris",1.6 miles,7.6,556 reviews,https://www.booking.com//hotel/fr/terminus-montparnasse.html?from=searchresults;#hotelTmpl
434,Luxury 3 Bedroom Le Marais,"3rd arr., Paris",0.7 miles,7.9,622 reviews,https://www.booking.com//hotel/fr/luxury-3-bedroom-le-marais.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
435,Newhotel Lafayette,"9th arr., Paris",1.4 miles,8.7,16 reviews,https://www.booking.com//hotel/fr/celtelafayette.html?from=searchresults;#hotelTmpl
436,Avalon Hôtel Paris Gare du Nord,"10th arr., Paris",1.7 miles,8.1,"1,055 reviews",https://www.booking.com//hotel/fr/avalon-hotel-paris.html?from=searchresults;#hotelTmpl
437,Hotel Imperial Paris,"9th arr., Paris",1.5 miles,8.6,468 reviews,https://www.booking.com//hotel/fr/imperial-paris.html?from=searchresults;#hotelTmpl
438,Camallo Paris,"2nd arr., Paris",1.2 miles,8.0,"4,706 reviews",https://www.booking.com//hotel/fr/camallo-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
439,Terrass'' Hôtel Montmartre by MH,"18th arr., Paris",2.2 miles,7.7,"1,470 reviews",https://www.booking.com//hotel/fr/terrass-paris.html?from=searchresults;#hotelTmpl
440,Hôtel Bonne Nouvelle,"2nd arr., Paris",0.9 miles,9.0,88 reviews,https://www.booking.com//hotel/fr/bonne-nouvelle.html?from=searchresults;#hotelTmpl
441,Hôtel de Roubaix,"3rd arr., Paris",0.6 miles,8.6,32 reviews,https://www.booking.com//hotel/fr/de-roubaix.html?from=searchresults;#hotelTmpl
442,Tonic Hotel Saint Germain des Prés,"6th arr., Paris",0.7 miles,9.0,16 reviews,https://www.booking.com//hotel/fr/tonic-saint-germain-des-pres.html?from=searchresults;#hotelTmpl
443,Beaugrenelle St-Charles Tour Eiffel,"15th arr., Paris",3.1 miles,8.1,"1,087 reviews",https://www.booking.com//hotel/fr/beaugrenelle-saint-charles.html?from=searchresults;#hotelTmpl
444,Bastille Apartments,"11th arr., Paris",1.5 miles,8.2,"1,861 reviews",https://www.booking.com//hotel/fr/grey-bastille-apartment.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
445,Hôtel de Lille,"7th arr., Paris",1 miles,8.5,12 reviews,https://www.booking.com//hotel/fr/hoteldelille.html?from=searchresults;#hotelTmpl
446,The heart of Montmartre,"18th arr., Paris",2.2 miles,8.4,575 reviews,https://www.booking.com//hotel/fr/the-heart-of-montmartre.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
447,CMG Suite Deluxe vue Tour Eiffel,"16th arr., Paris",3 miles,8.2,12 reviews,https://www.booking.com//hotel/fr/cmg-suite-deluxe-vue-tour-eiffel.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
448,Libertel Gare Du Nord Suede,"10th arr., Paris",1.5 miles,8.2,556 reviews,https://www.booking.com//hotel/fr/libertel-suede-gare-du-nord.html?from=searchresults;#hotelTmpl
449,Le clos de l'olivier,"15th arr., Paris",2.9 miles,8.5,732 reviews,https://www.booking.com//hotel/fr/le-clos-de-l-olivier-paris.html?from=searchresults;#hotelTmpl
450,CMG Bastille/ Voltaire III,"11th arr., Paris",1.2 miles,9.4,238 reviews,https://www.booking.com//hotel/fr/cmg-bastille-47-voltaire-iii.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
451,Best Western Star Champs-Elysées,"17th arr., Paris",3 miles,8.4,535 reviews,https://www.booking.com//hotel/fr/star-etoile-paris.html?from=searchresults;#hotelTmpl
452,Grand Hôtel Du Palais Royal,"1st arr., Paris",0.8 miles,7.5,164 reviews,https://www.booking.com//hotel/fr/grand-du-palais-royal.html?from=searchresults;#hotelTmpl
453,Holiday Inn Paris Gare de Lyon Bastille,"12th arr., Paris",1.2 miles,8.7,936 reviews,https://www.booking.com//hotel/fr/holiday-inn-paris-bastille.html?from=searchresults;#hotelTmpl
454,Notre Dame - Latin Quarter Apartment,"5th arr., Paris","2,800 feet",7.8,367 reviews,https://www.booking.com//hotel/fr/notre-dame-latin-quarter-apartment.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
455,"Fabulous apartment ""Champs Elysées""","16th arr., Paris",2.9 miles,8.2,727 reviews,https://www.booking.com//hotel/fr/fabulous-apartment-quot-champs-elysees-quot.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
456,Hôtel du Triangle d'Or,"9th arr., Paris",1.5 miles,8.9,"1,232 reviews",https://www.booking.com//hotel/fr/hotel-du-triangle-dor.html?from=searchresults;#hotelTmpl
457,Charming Flat in Paris,"2nd arr., Paris","2,950 feet",8.7,928 reviews,https://www.booking.com//hotel/fr/charming-flat-in-paris-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
458,"Prince de Galles, a Luxury Collection hotel, Paris","8th arr., Paris",2.5 miles,8.2,742 reviews,https://www.booking.com//hotel/fr/princedegalleshotel.html?from=searchresults;#hotelTmpl
459,Loft Marais Atelier,"3rd arr., Paris",0.7 miles,7.6,976 reviews,https://www.booking.com//hotel/fr/loft-marais-atelier.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
460,Odalys City Paris Montmartre,"18th arr., Paris",2.2 miles,7.1,72 reviews,https://www.booking.com//hotel/fr/appart-39-odalys-paris-montmartre.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
461,Hotel Saint Honore,"1st arr., Paris","2,600 feet",8.4,201 reviews,https://www.booking.com//hotel/fr/saint-honore.html?from=searchresults;#hotelTmpl
462,Best Western Premier Louvre Saint-Honoré,"1st arr., Paris",0.6 miles,8.4,63 reviews,https://www.booking.com//hotel/fr/louvresainthonore.html?from=searchresults;#hotelTmpl
463,Luxury 2 Bedroom 2 Bathroom Apartment - Louvre,"1st arr., Paris",0.7 miles,6.8,6 reviews,https://www.booking.com//hotel/fr/apartment-chic-2-rooms-louvre-paris-centre.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
464,Pavillon Monceau,"17th arr., Paris",2.8 miles,8.3,617 reviews,https://www.booking.com//hotel/fr/hotelpavillonmonceau.html?from=searchresults;#hotelTmpl
465,Hôtel Chopin,"9th arr., Paris",1.2 miles,8.3,405 reviews,https://www.booking.com//hotel/fr/chopin-paris.html?from=searchresults;#hotelTmpl
466,ibis Styles Paris Bercy,"12th arr., Paris",1.9 miles,7.3,29 reviews,https://www.booking.com//hotel/fr/mercure-paris-bercy.html?from=searchresults;#hotelTmpl
467,Adonis Sacré Coeur Hotel Roma,"18th arr., Paris",2.4 miles,8.6,648 reviews,https://www.booking.com//hotel/fr/romasacrecoeur.html?from=searchresults;#hotelTmpl
468,Appartement Petits Champs,"1st arr., Paris",0.7 miles,9.1,8 reviews,https://www.booking.com//hotel/fr/appartement-petits-champs.html?from=searchresults;#hotelTmpl
469,Maillot Studio,"17th arr., Paris",3.1 miles,7.8,"2,797 reviews",https://www.booking.com//hotel/fr/maillot-studio.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
470,Bastille - Ledru Rollin Private Apartment,"11th arr., Paris",1.4 miles,9.1,369 reviews,https://www.booking.com//hotel/fr/bastille-ledru-rollin-private-apartment.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
471,Median Paris Porte de Versailles,"15th arr., Paris",3.1 miles,9.1,279 reviews,https://www.booking.com//hotel/fr/jjwmedianpar.html?from=searchresults;#hotelTmpl
472,Hotel Montmartre Apolonia (ex Comfort Lamarck),"18th arr., Paris",2.5 miles,7.3,10 reviews,https://www.booking.com//hotel/fr/comfort-hotel-lamarck-caulaincourt.html?from=searchresults;#hotelTmpl
473,CMG Marais/ Rosiers,"4th arr., Paris","2,150 feet",8.4,13 reviews,https://www.booking.com//hotel/fr/cmg-marais-47-rosiers.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
474,Villa Montparnasse,"14th arr., Paris",1.8 miles,9.1,235 reviews,https://www.booking.com//hotel/fr/villamontparnasse.html?from=searchresults;#hotelTmpl
475,Private Apartment - Hôtel de Ville - Le Marais,"4th arr., Paris","1,500 feet",7.5,828 reviews,https://www.booking.com//hotel/fr/private-apartment-de-ville-le-marais.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
476,Crystal Hotel,"6th arr., Paris",0.9 miles,8.8,209 reviews,https://www.booking.com//hotel/fr/hotelcrystal2.html?from=searchresults;#hotelTmpl
477,Hôtel Duo,"4th arr., Paris",650 feet,8.7,385 reviews,https://www.booking.com//hotel/fr/duo.html?from=searchresults;#hotelTmpl
478,1er Etage SoPi,"9th arr., Paris",1.8 miles,7.3,7 reviews,https://www.booking.com//hotel/fr/1er-etage-sopi.html?from=searchresults;#hotelTmpl
479,Hotel Monsieur Helder,"9th arr., Paris",1.3 miles,8.8,"1,153 reviews",https://www.booking.com//hotel/fr/helderopera.html?from=searchresults;#hotelTmpl
480,Hotel Bersolys Saint-Germain,"7th arr., Paris",1 miles,8.3,261 reviews,https://www.booking.com//hotel/fr/bersolys-saint-germain.html?from=searchresults;#hotelTmpl
481,Hôtel du Levant,"5th arr., Paris","2,450 feet",9.3,51 reviews,https://www.booking.com//hotel/fr/du-levant.html?from=searchresults;#hotelTmpl
482,Hotel Ile de France Opéra,"2nd arr., Paris",1.1 miles,7.7,311 reviews,https://www.booking.com//hotel/fr/idfo.html?from=searchresults;#hotelTmpl
483,Hôtel Elixir,"1st arr., Paris","1,500 feet",7.6,76 reviews,https://www.booking.com//hotel/fr/louvre-rivoli.html?from=searchresults;#hotelTmpl
484,Hôtel Henri IV Rive Gauche,"5th arr., Paris","2,300 feet",9.0,494 reviews,https://www.booking.com//hotel/fr/henri-4.html?from=searchresults;#hotelTmpl
485,Floride-Etoile,"16th arr., Paris",3 miles,9.1,83 reviews,https://www.booking.com//hotel/fr/florideetoileparis.html?from=searchresults;#hotelTmpl
486,Holiday Inn Paris Opéra - Grands Boulevards,"9th arr., Paris",1.1 miles,9.5,38 reviews,https://www.booking.com//hotel/fr/holiday-inn-paris-opera-grands-boulevards.html?from=searchresults;#hotelTmpl
487,Berkeley,"14th arr., Paris",1.6 miles,7.2,632 reviews,https://www.booking.com//hotel/fr/berkeley.html?from=searchresults;#hotelTmpl
488,CMG Sacre Coeur II,"18th arr., Paris",1.9 miles,9.4,234 reviews,https://www.booking.com//hotel/fr/cmg-sacre-coeur-ii-paris12.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
489,Studios de Charme à Montmartre,"18th arr., Paris",2.2 miles,8.4,39 reviews,https://www.booking.com//hotel/fr/appartement-design-a-montmartre.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
490,Paris Center Marais Rosiers Loft - AC - wifi,"4th arr., Paris","1,950 feet",6.8,8 reviews,https://www.booking.com//hotel/fr/cosy-rosiers-loft.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
491,CMG Tour Eiffel/Champs de Mars/ Laos,"15th arr., Paris",2.4 miles,8.8,415 reviews,https://www.booking.com//hotel/fr/cmg-tour-eiffel-47-champs-de-mars-47-laos.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
492,Le Belmont Paris,"16th arr., Paris",2.6 miles,8.7,529 reviews,https://www.booking.com//hotel/fr/lebelmontparis.html?from=searchresults;#hotelTmpl
493,Sofitel Le Scribe Paris Opera,"9th arr., Paris",1.4 miles,7.7,674 reviews,https://www.booking.com//hotel/fr/scribe-paris.html?from=searchresults;#hotelTmpl
494,CMG Auteuil/ Saint Cloud II,"16th arr., Paris",3.7 miles,8.0,556 reviews,https://www.booking.com//hotel/fr/cmg-auteuil-47-saint-cloud-ii.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
495,Hotel Vignon,"8th arr., Paris",1.6 miles,7.8,511 reviews,https://www.booking.com//hotel/fr/vignon.html?from=searchresults;#hotelTmpl
496,Large apartment between Montmartre and Opéra,"9th arr., Paris",1.6 miles,7.5,"1,218 reviews",https://www.booking.com//hotel/fr/rue-des-martyrs-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
497,Hôtel Concorde Montparnasse,"14th arr., Paris",2 miles,7.9,373 reviews,https://www.booking.com//hotel/fr/hotelparismontparn.html?from=searchresults;#hotelTmpl
498,Hotel de Seze,"9th arr., Paris",1.5 miles,8.1,"5,459 reviews",https://www.booking.com//hotel/fr/de-seze-paris.html?from=searchresults;#hotelTmpl
499,Le Singulier,"16th arr., Paris",3.1 miles,7.8,"3,445 reviews",https://www.booking.com//hotel/fr/hotel-alma-mesnil.html?from=searchresults;#hotelTmpl
500,63-LUXURY FLAT CHAMPS-ELYSEES (1C),"8th arr., Paris",2.1 miles,8.5,308 reviews,https://www.booking.com//hotel/fr/63-luxury-flat-triangle-d-39-or-1c.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
501,CMG Suite Deluxe Tour Eiffel IV,"16th arr., Paris",3 miles,8.4,63 reviews,https://www.booking.com//hotel/fr/cmg-suite-premium-tour-eiffel-iv.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
502,CasaÔ,"2nd arr., Paris",0.8 miles,8.0,"1,390 reviews",https://www.booking.com//hotel/fr/casa-o.html?from=searchresults;#hotelTmpl
503,Luxelthe,"18th arr., Paris",1.9 miles,8.4,"1,640 reviews",https://www.booking.com//hotel/fr/luxelthe.html?from=searchresults;#hotelTmpl
504,Hôtel Du Haut Marais,"3rd arr., Paris","3,100 feet",8.0,"1,270 reviews",https://www.booking.com//hotel/fr/du-haut-marais-paris.html?from=searchresults;#hotelTmpl
505,Hôtel du Continent,"1st arr., Paris",1.3 miles,8.5,564 reviews,https://www.booking.com//hotel/fr/du-continent.html?from=searchresults;#hotelTmpl
506,Sweet Inn - Duret,"16th arr., Paris",3.1 miles,8.2,987 reviews,https://www.booking.com//hotel/fr/duret.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
507,Le Marceau Bastille,"12th arr., Paris",1 miles,7.9,600 reviews,https://www.booking.com//hotel/fr/le-marceau-bastille.html?from=searchresults;#hotelTmpl
508,Le Relais Médicis,"6th arr., Paris",0.7 miles,8.6,"2,213 reviews",https://www.booking.com//hotel/fr/le-relais-medicis.html?from=searchresults;#hotelTmpl
509,Charly,"11th arr., Paris",1.4 miles,8.3,480 reviews,https://www.booking.com//hotel/fr/charly-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
510,HolidaysInParis - Republique,"10th arr., Paris",1.3 miles,7.8,"1,271 reviews",https://www.booking.com//hotel/fr/holidaysinparis-republique.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
511,Apartment Saint Michel Free Parking,"5th arr., Paris","2,800 feet",8.8,"2,034 reviews",https://www.booking.com//hotel/fr/apartment-saint-michel-free-parking.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
512,Jardins de Mademoiselle Hôtel & Spa,"15th arr., Paris",2.7 miles,9.3,292 reviews,https://www.booking.com//hotel/fr/les-jardins-de-mademoiselle-paris.html?from=searchresults;#hotelTmpl
513,Apartment Quartier Latin - Mouffetard,"5th arr., Paris",1.3 miles,8.9,546 reviews,https://www.booking.com//hotel/fr/apartment-quartier-latin-mouffetard.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
514,Chateau 41,"4th arr., Paris","2,150 feet",9.1,88 reviews,https://www.booking.com//hotel/fr/chateau-41.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
515,Exelmans,"16th arr., Paris",3.7 miles,9.1,63 reviews,https://www.booking.com//hotel/fr/exelmans.html?from=searchresults;#hotelTmpl
516,Hotel Flanelles Paris,"17th arr., Paris",2.9 miles,9.4,350 reviews,https://www.booking.com//hotel/fr/flanelles-paris.html?from=searchresults;#hotelTmpl
517,Private Apartment - Centre Pompidou - Marais,"3rd arr., Paris","3,100 feet",8.8,"11,931 reviews",https://www.booking.com//hotel/fr/private-apartments-pompidou.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
518,CMG Marais/ République G,"3rd arr., Paris",0.9 miles,8.9,357 reviews,https://www.booking.com//hotel/fr/cmg-beranger-i.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
519,Celeste Hotel Paris Batignolles,"17th arr., Paris",2.2 miles,9.1,66 reviews,https://www.booking.com//hotel/fr/celeste-paris.html?from=searchresults;#hotelTmpl
520,New Orient Hotel,"8th arr., Paris",2.2 miles,8.4,"2,245 reviews",https://www.booking.com//hotel/fr/new-orient.html?from=searchresults;#hotelTmpl
521,Hotel Bastille,"11th arr., Paris",0.9 miles,8.0,"1,731 reviews",https://www.booking.com//hotel/fr/bastille-paris1.html?from=searchresults;#hotelTmpl
522,Golden Tulip Washington Opera,"1st arr., Paris",1 miles,9.8,17 reviews,https://www.booking.com//hotel/fr/gtwashingtonopera.html?from=searchresults;#hotelTmpl
523,Hotel Andréa,"4th arr., Paris",650 feet,9.0,702 reviews,https://www.booking.com//hotel/fr/andrea-paris.html?from=searchresults;#hotelTmpl
524,HOTEL LUCIEN,"2nd arr., Paris",0.9 miles,7.5,25 reviews,https://www.booking.com//hotel/fr/hotel-chenier.html?from=searchresults;#hotelTmpl
525,Eiffel Village Apartments Paris,"15th arr., Paris",2.8 miles,7.1,"1,226 reviews",https://www.booking.com//hotel/fr/eiffel-village-apartments-paris-centre.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
526,Kyriad Hotel Paris Bercy Village,"12th arr., Paris",2.2 miles,8.0,"1,707 reviews",https://www.booking.com//hotel/fr/parisbercyvillage.html?from=searchresults;#hotelTmpl
527,Belambra City - Magendie,"13th arr., Paris",1.6 miles,9.1,161 reviews,https://www.booking.com//hotel/fr/belambra-city-magendie.html?from=searchresults;#hotelTmpl
528,Hôtel Lancaster Paris Champs-Elysées,"8th arr., Paris",2.4 miles,7.6,318 reviews,https://www.booking.com//hotel/fr/lancaster-paris-champs-elysees.html?from=searchresults;#hotelTmpl
529,Private Apartment - St. Germain - Le Bon Marché,"6th arr., Paris",1.6 miles,9.3,203 reviews,https://www.booking.com//hotel/fr/the-heart-of-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
530,Hotel des Arts,"9th arr., Paris",1.1 miles,8.6,932 reviews,https://www.booking.com//hotel/fr/des-arts-paris1.html?from=searchresults;#hotelTmpl
531,Hotel Qualys Mouffetard Apolonia,"5th arr., Paris",1 miles,8.3,458 reviews,https://www.booking.com//hotel/fr/comfort-inn-mouffetard-quartier-latin.html?from=searchresults;#hotelTmpl
532,Hôtel Alexandrine Opera,"8th arr., Paris",2 miles,8.3,959 reviews,https://www.booking.com//hotel/fr/hotel-balladins-paris-8eme-confort.html?from=searchresults;#hotelTmpl
533,La Tremoille Paris,"8th arr., Paris",2.3 miles,7.9,786 reviews,https://www.booking.com//hotel/fr/la-tremoille-paris.html?from=searchresults;#hotelTmpl
534,CMG Voltaire/ Chemin vert,"11th arr., Paris",1.2 miles,8.3,"4,675 reviews",https://www.booking.com//hotel/fr/cmg-voltaire-47-chemin-vert.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
535,Apollinaire,"14th arr., Paris",1.6 miles,8.2,"1,965 reviews",https://www.booking.com//hotel/fr/apollinaire-paris.html?from=searchresults;#hotelTmpl
536,Mercure Paris Opera Louvre,"2nd arr., Paris",1.1 miles,8.6,"1,020 reviews",https://www.booking.com//hotel/fr/paris-cusset-opera.html?from=searchresults;#hotelTmpl
537,District République,"10th arr., Paris",1.1 miles,8.1,"1,201 reviews",https://www.booking.com//hotel/fr/district-republique.html?from=searchresults;#hotelTmpl
538,Résidence Champ de Mars,"15th arr., Paris",2.5 miles,8.2,207 reviews,https://www.booking.com//hotel/fr/residence-champ-de-mars.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
539,La Réserve Paris Hotel & Spa,"8th arr., Paris",2 miles,7.9,"3,012 reviews",https://www.booking.com//hotel/fr/la-reserve-paris-amp-spa.html?from=searchresults;#hotelTmpl
540,Le Méridien Etoile,"17th arr., Paris",3.1 miles,8.7,552 reviews,https://www.booking.com//hotel/fr/lemerietoilepar.html?from=searchresults;#hotelTmpl
541,Hotel Saint Petersbourg Opera,"9th arr., Paris",1.5 miles,9.2,"1,475 reviews",https://www.booking.com//hotel/fr/saintpetersbourg.html?from=searchresults;#hotelTmpl
542,Relais Christine,"6th arr., Paris","2,950 feet",8.5,56 reviews,https://www.booking.com//hotel/fr/relais-christine.html?from=searchresults;#hotelTmpl
543,Hotel Des Saints Peres - Esprit de France,"6th arr., Paris",1 miles,8.3,34 reviews,https://www.booking.com//hotel/fr/des-saints-peres.html?from=searchresults;#hotelTmpl
544,Les Petits Carreaux,"2nd arr., Paris",0.8 miles,7.9,35 reviews,https://www.booking.com//hotel/fr/les-petits-carreaux.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
545,Les cles du 27 Paris,"17th arr., Paris",2.6 miles,8.7,13 reviews,https://www.booking.com//hotel/fr/les-cles-du-27-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
546,Le Narcisse Blanc,"7th arr., Paris",1.9 miles,8.7,"1,123 reviews",https://www.booking.com//hotel/fr/le-narcisse-blanc.html?from=searchresults;#hotelTmpl
547,citizenM Paris Gare de Lyon,"12th arr., Paris",1.3 miles,7.7,"1,513 reviews",https://www.booking.com//hotel/fr/citizenm-paris-gare-de-lyon.html?from=searchresults;#hotelTmpl
548,Hotel Indigo Paris - Opera,"9th arr., Paris",1.4 miles,8.0,545 reviews,https://www.booking.com//hotel/fr/indigo-paris-opera.html?from=searchresults;#hotelTmpl
549,Apartment Quartier Latin - Monge,"5th arr., Paris",1.2 miles,9.8,311 reviews,https://www.booking.com//hotel/fr/apartment-quartier-latin-monge.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
550,Hôtel Du Plat d'Etain,"3rd arr., Paris",0.9 miles,8.1,541 reviews,https://www.booking.com//hotel/fr/hotel-plat-etain.html?from=searchresults;#hotelTmpl
551,Garden Saint Martin,"10th arr., Paris",1.1 miles,7.1,"1,627 reviews",https://www.booking.com//hotel/fr/gilden-magenta.html?from=searchresults;#hotelTmpl
552,Hôtel Le Presbytère,"4th arr., Paris","1,000 feet",8.0,"3,125 reviews",https://www.booking.com//hotel/fr/hotel-le-presbytere.html?from=searchresults;#hotelTmpl
553,Urban Bivouac Hotel,"13th arr., Paris",2.2 miles,9.6,9 reviews,https://www.booking.com//hotel/fr/ub-paris.html?from=searchresults;#hotelTmpl
554,Luxury and Spacious Appartment in Saint Michel,"5th arr., Paris","2,300 feet",8.7,15 reviews,https://www.booking.com//hotel/fr/luxury-and-spacious-appartment-in-saint-michel.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
555,Appart'City Paris La Villette,"19th arr., Paris",2.6 miles,7.9,"2,021 reviews",https://www.booking.com//hotel/fr/appart-city-cap-affaires-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
556,Citadines Les Halles Paris,"1st arr., Paris","1,800 feet",7.1,250 reviews,https://www.booking.com//hotel/fr/citadines-aparthotel-les-halles.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
557,Hotel Bowmann,"8th arr., Paris",2 miles,7.6,"1,904 reviews",https://www.booking.com//hotel/fr/bowmann.html?from=searchresults;#hotelTmpl
558,Sweet Inn - Le Marais,"4th arr., Paris",800 feet,8.8,770 reviews,https://www.booking.com//hotel/fr/sweet-inn-apartments-le-marais.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
559,Le Meurice – Dorchester Collection,"1st arr., Paris",1.2 miles,8.2,159 reviews,https://www.booking.com//hotel/fr/le-meurice-paris.html?from=searchresults;#hotelTmpl
560,Hôtel du Home Moderne,"15th arr., Paris",2.7 miles,8.6,"1,550 reviews",https://www.booking.com//hotel/fr/du-home-moderne.html?from=searchresults;#hotelTmpl
561,Dream Hotel Opera,"9th arr., Paris",1.3 miles,8.0,"2,102 reviews",https://www.booking.com//hotel/fr/dream-opera.html?from=searchresults;#hotelTmpl
562,Hotel Best Western Anjou Lafayette,"9th arr., Paris",1.4 miles,9.0,22 reviews,https://www.booking.com//hotel/fr/anjou.html?from=searchresults;#hotelTmpl
563,Hôtel Tilde,"19th arr., Paris",2.3 miles,8.6,"1,226 reviews",https://www.booking.com//hotel/fr/tilde.html?from=searchresults;#hotelTmpl
564,Heart of Montmartre,"18th arr., Paris",2.4 miles,8.2,31 reviews,https://www.booking.com//hotel/fr/carriere.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
565,YOOMA Urban Lodge,"15th arr., Paris",3.1 miles,8.7,48 reviews,https://www.booking.com//hotel/fr/yooma-urban-lodge.html?from=searchresults;#hotelTmpl
566,Novotel Paris Centre Gare Montparnasse,"15th arr., Paris",2.1 miles,7.7,680 reviews,https://www.booking.com//hotel/fr/novotel-paris-gare-montparnasse.html?from=searchresults;#hotelTmpl
567,Hôtel Hor Europe,"10th arr., Paris",1.6 miles,7.8,"2,172 reviews",https://www.booking.com//hotel/fr/ha-tel-hor.html?from=searchresults;#hotelTmpl
568,Hotel Ascot Opera,"2nd arr., Paris",1.1 miles,7.8,"1,408 reviews",https://www.booking.com//hotel/fr/ascot.html?from=searchresults;#hotelTmpl
